HGNCsymbol,ChromosomeName,GeneStart,GeneEnd
MIR320C2,18,21901650,21901699
LINC00454,13,114581673,114586624
RNU5A-4P,13,34403676,34403786
VDAC1P12,13,34656566,34657447
LINC00452,13,114586640,114626485
GOLGA6L6,15,20737094,20747114
LINC00457,13,35009587,35214822
LINC00565,13,114629487,114631817
RNU4-45P,21,23577511,23577651
RASA3-IT1,13,114873044,114874295
GAMTP2,13,35148341,35148803
MIR548AR,13,115009980,115010036
MAPK6PS2,21,23808610,23810669
MIR4502,13,115039303,115039383
SCAND3P1,13,35759431,35760816
CLCP2,13,115072121,115072541
PHBP13,13,35825207,35825966
LINC01054,13,115095034,115099423
LINC00445,13,36271661,36273393
RNU6-71P,13,36841305,36841411
IGHV1OR21-1,21,10862622,10863067
HIST1H2APS6,13,37064215,37064578
GAPDHP34,13,37314178,37315000
TCEAL4P1,13,37316015,37316602
ARL2BPP3,13,37363469,37369187
POTEB2,15,21040701,21071643
NDE1P2,13,37378335,37379439
SMAD9-AS1,13,37423503,37424183
LAMTOR3P1,13,37496676,37497045
RPL29P28,13,37500575,37501356
EIF4A1P5,13,37512537,37513631
RN7SKP1,13,37740489,37740795
RPS12P24,13,37794997,37795383
LINC01048,13,38055604,38058906
RN7SL609P,21,24052992,24053286
RNA5SP26,13,38428989,38429107
HSPD1P9,13,38567222,38568857
LINC00571,13,38624954,38717369
ZNF299P,21,24462350,24464153
LINC00437,13,39107480,39119436
MSANTD2P1,21,24473545,24475396
LINC00366,13,39150777,39153131
RNU2-55P,21,24654058,24654231
PRDX3P3,13,39191556,39192077
RNU6-56P,13,39353561,39353653
IGHD5OR15-5B,15,21215823,21215845
FREM2-AS1,13,39395935,39401707
PLA2G12AP2,13,39476524,39476787
IGHD4OR15-4B,15,21216780,21216798
ANKRD26P2,13,39496864,39510336
EEF1A1P1,21,24762579,24763317
IGHD3OR15-3B,15,21217888,21217918
NXT1P1,13,39743773,39744088
IGHD2OR15-2B,15,21220377,21220407
MIR4305,13,40238171,40238272
TUBAP,21,24779978,24781448
RNY4P14,13,40359552,40359647
CDKN2AIPNLP3,13,40391878,40392186
SECISBP2L,15,49280673,49338760
AZU1P1,13,40430847,40431231
IGHD1OR15-1B,15,21223129,21223145
LINC00332,13,40755946,40763165
RPL17P51,13,40798762,40798999
RNY3P9,13,40800964,40801069
RN7SKP2,13,40981259,40981577
LINC00598,13,41025131,41055143
RLIMP1,13,41192875,41195485
MIR320D1,13,41301964,41302011
MIR621,13,41384902,41384997
TPTE2P5,13,41396432,41495890
POTEB,15,22051853,22083227
TPTE,21,10906201,11029719
CYCSP34,13,41437735,41438038
SUGT1P3,13,41482295,41495910
RGS17P1,13,41566915,41567467
MIR3168,13,41675155,41675236
RN7SL597P,13,41696012,41696305
CALM2P3,13,41744836,41745284
MORF4L1P4,13,41773968,41774943
RAC1P3,13,41861877,41862456
RNU6-57P,13,41928693,41928795
TUBBP2,13,41958909,41959319
OR7E36P,13,42005425,42006446
OR7E155P,13,42013952,42015035
RAC1P1,18,22265736,22266315
OR7E37P,13,42016906,42017786
MIR5006,13,42142422,42142531
RN7SL515P,13,42381813,42382108
RNU6-74P,13,42479254,42479360
KARSP1,13,42499734,42501485
WBP2P1,18,22596398,22597168
RPS28P8,13,42577566,42577773
MAPK6PS3,13,42643068,42645229
RN7SL97P,18,23398200,23398496
CHCHD2P11,13,42755601,42756057
FHP1,13,42830009,42830711
RPS24P18,18,23678803,23679190
FABP3P2,13,42943374,42943793
DHFRP1,18,23749724,23751313
LINC01050,13,43384502,43386698
LINC00428,13,43416550,43417023
NPM1P2,18,23784833,23785868
ZDHHC4P1,13,43507994,43509028
FAM60BP,18,23835662,23836319
LINC00400,13,43732767,43733602
RPL36P19,13,43968661,43968961
ENOX1-AS2,13,44032601,44033259
ENOX1-AS1,13,44118054,44122192
RNU6-1289P,18,23946265,23946370
POTED,21,14982498,15013906
LINC00284,13,44482850,44604597
CIAPIN1P,18,24179372,24180302
AQP4-AS1,18,24235706,24770662
DGKZP1,13,44542560,44545335
LDLRAD4,18,13217497,13652754
LINC00390,13,44680514,44711372
SMIM2-AS1,13,44716682,44813010
SMIM2-IT1,13,44720606,44732358
LINC01071,13,44974386,44980120
SMARCE1P5,13,45168994,45170218
LIPI,21,15481134,15583166
LINC00407,13,45225948,45275152
LINC00330,13,45373639,45383766
RN7SL49P,13,45576285,45576580
RN7SKP3,13,45634864,45635221
RNU6-69P,13,45711997,45712100
SNORA31,13,45911615,45911744
RBM11,21,15588451,15600693
OR4M2,15,22368478,22369561
OR4N4,15,22382382,22383507
TPT1-AS1,13,45915480,45965872
IGHV1OR15-1,15,22448382,22448819
IGHV4OR15-8,15,22472918,22473353
HSPA13,21,15743436,15755805
RCN1P2,13,45964486,45965402
SLC25A30-AS1,13,45992297,45994506
PPIAP25,13,46010256,46010795
RNA5SP27,13,46125620,46125738
GOLGA6L1,15,22736246,22746002
TIMM9P3,13,46126998,46127271
COX4I1P2,13,46245980,46246526
LINC01055,13,46255225,46256554
AKR1B1P4,13,46261683,46262604
CPB2-AS1,13,46626941,46687467
RNA5SP489,21,26574521,26574629
RN7SL288P,13,46743594,46743883
RN7SKP5,13,46824077,46824348
FAM206BP,13,46844212,46844752
LINC00563,13,46870580,46871979
RNU2-6P,13,46948536,46948725
RNU6-68P,13,46984589,46984692
COPS2,15,49398268,49447858
SAMSN1,21,15857549,15955723
PPP1R2P4,13,46917102,47012325
OR7E101P,13,47034744,47035256
COX17P1,13,47064997,47065397
FKBP1AP3,13,47079253,47079571
HTR2A-AS1,13,47426278,47430434
GNG5P5,13,47881217,47881436
RN7SL700P,13,48033078,48033369
NAP1L4P3,13,48337595,48338741
RPL27AP8,13,48340775,48341220
TUBGCP5,15,22833395,22873892
LINC00444,13,48479464,48481492
LINC00562,13,48504290,48506757
SUCLA2-AS1,13,48575525,48576688
MED4-AS1,13,48651273,48654127
POLR2KP2,13,48708494,48708670
LINC00441,13,48870649,48877797
PPP1R26P1,13,48890999,48894611
PCNPP5,13,48902220,48902700
LINC01077,13,49144775,49147453
NRIP1,21,16333556,16437321
LINC00462,13,49151110,49152224
PSME2P2,13,49345264,49345965
UBA52P9,18,24935370,24935728
RNU6-60P,13,49562051,49562153
RAD17P2,13,49618215,49620930
RBM22P1,18,24998848,25000399
RNY3P2,13,49669527,49669628
COX7CP1,13,49761615,49761806
PA2G4P3,18,25032478,25033621
OGFOD1P1,13,49784558,49786430
SNRPGP14,13,50063106,50063500
RMDN3,15,41028082,41048049
ARIH2P1,18,26231696,26233172
RNY4P30,13,50463770,50463864
CTAGE10P,13,50464727,50467134
RNU6-408P,18,26628584,26628683
RNY4P9,13,50482770,50482866
MIR3613,13,50570551,50570637
RNU6-857P,18,28564072,28564181
DLEU2,13,50601269,50699856
RPL13AP7,21,26734135,26734745
LINC00158,21,26758133,26804013
MIR16-1,13,50623109,50623197
RNU6-167P,18,28925325,28925430
RPL18P10,13,50673467,50674004
MIR155HG,21,26934221,26947480
ST13P4,13,50746225,50747317
LINC00515,21,26955082,26955638
RNGTTP1,21,27015801,27016528
RPL34P26,13,50935546,50935899
FDX1P2,21,27064492,27064866
RNU6-1002P,18,29249252,29249341
RN7SKP44,18,29298856,29299171
GCHFR,15,41056218,41059906
LRRC37A7P,18,29304161,29306919
DLEU7-AS1,13,51381992,51423190
RNU6-123P,21,27315359,27315460
RNA5SP28,13,51387124,51387242
RNU6-1050P,18,29517496,29517602
RNASEH2B-AS1,13,51450822,51484848
RNU6-926P,21,27563026,27563132
PGDP1,18,29542141,29543581
RNA5SP453,18,29756013,29756131
HNRNPA1P7,18,29991471,29993167
WBP11P1,18,30091626,30094597
DNAJC17,15,41060067,41099675
FAM210A,18,13663346,13726662
GUCY1B2,13,51568647,51654998
USP25,21,17102344,17252377
MIR4759,21,28326280,28326362
GPX1P2,21,28515663,28516268
RNA5SP29,13,51601883,51601988
LINC00371,13,51656984,51746524
RPL5P31,13,51735859,51736493
SLMO2P2,13,51770017,51770217
MIR5693,13,51922703,51922775
ST8SIA5,18,44259081,44339220
INTS6-AS1,13,52026503,52126500
C21orf37,21,18811208,18821503
RPS4XP16,13,52028300,52035451
RN7SL320P,13,52043886,52044181
SNRPGP11,13,52070156,52070387
MIR4703,13,52126725,52126803
RNU6-65P,13,52139548,52139645
RNY1P6,13,52160560,52160668
RN7SL413P,13,52168057,52168351
ATP5F1P1,13,52172552,52173596
CTAGE3P,13,52482354,52484757
FABP5P2,13,52540878,52541285
CXADR,21,18884700,18965897
MRPS31P5,13,52741844,52768600
RNMT,18,13726659,13764557
PIAS2,18,44388353,44500123
TPTE2P2,13,52793479,52908412
GALK2,15,49447853,49660066
BTG3,21,18965971,18985265
EIF4A1P1,21,28739333,28740266
SUMO2P15,15,41052795,41053072
RPL10P1,21,28792699,28793342
NCSTNP1,21,28864437,28864580
C15orf62,15,41062159,41064643
EPPIN-WFDC6,20,44165625,44176065
LINC00113,21,29094698,29123552
ISCA1P4,15,41240934,41241067
LINC00314,21,29385682,29395552
CYCSP2,15,41401076,41401376
WFDC8,20,44179792,44207965
TPM1,15,63334831,63364114
FAM92A1P1,15,41455360,41456572
RN7SL497P,15,41484165,41484463
WFDC9,20,44236578,44259907
C21orf91,21,19161284,19191703
OIP5-AS1,15,41576188,41601901
ZNF271,18,32870246,32890730
CRTC3,15,91073157,91188577
NRBF2P1,18,33421723,33422581
MIR187,18,33484781,33484889
MIR3929,18,33514051,33514105
ZFYVE19,15,41099284,41106767
CSTF1,20,54967427,54979518
CHODL,21,19273580,19639690
MIR4318,18,35237098,35237178
RN7SKP182,18,36596011,36596308
RNU6-706P,18,36613971,36614074
LINC00669,18,36786888,37380282
RNY4P24,13,52974139,52974234
LINC00345,13,53058296,53058815
WFDC10A,20,44258165,44259835
RPL7AP66,18,36914836,36915639
MIR5583-1,18,37256685,37256743
RNU6-1169P,15,41740940,41741042
CYFIP1,15,22892005,23006016
TCEB1P2,15,41849225,41849633
RNU6-1242P,18,37258484,37258586
WFDC11,20,44277202,44298909
TPTE2P3,13,53063128,53161222
MIR626,15,41983783,41983876
RPL17P45,18,37723890,37724468
RNU7-145P,18,38052785,38052846
WFDC10B,20,44313292,44333658
TMPRSS15,21,19641433,19858197
RNA5SP393,15,42144111,42144227
MIR4310,15,42158693,42158749
WFDC13,20,44330655,44337456
MIR1827,15,78330873,78330937
SPINT4,20,44350990,44354469
LINC00907,18,39739247,40271387
IDH3B,20,2639041,2644865
MRPS31P4,13,53191693,53211581
KATNAL2,18,44497455,44627658
WFDC3,20,44376583,44420571
MIR759,13,53384179,53384274
PPIAP26,13,53394632,53395153
LINC01065,13,53720674,53725943
PCDH8P1,13,53774116,53776547
CASS4,20,54987168,55034396
RN7SL618P,13,53832212,53832505
RPL18P11,15,78953389,78953918
LINC00558,13,54389554,54450254
LINC00458,13,54689924,54707001
RPL21P116,15,79155589,79156071
RNU6-415P,15,79191182,79191278
MIR627,15,42491768,42491864
RPL13AP25,13,55014839,55015450
NCAM2,21,22370633,22915650
MIR5007,13,55748589,55748683
HNF4GP1,13,56573334,56574582
SPATA2P1,13,56788507,56791076
LINC00161,21,29911640,29912677
RN7SKP6,13,57459418,57459736
PRR20FP,13,57747587,57747766
RNU6-872P,21,30115530,30115613
MTCO2P3,13,57778513,57778933
HSPD1P7,21,30259602,30261594
PPP1R14D,15,41107650,41120907
SLC25A5P4,13,57888873,57890043
THUMPD1P1,21,30274101,30276019
RPL23P2,21,30369934,30370354
MIR184,15,79502130,79502213
HNRNPCP3,15,79528674,79529548
RPL31P53,13,57965305,57965652
RNA5SP30,13,58565484,58565598
LINC00374,13,58785831,58807251
RPL12P9,21,30500022,30500509
RNY4P29,13,59101789,59101885
CTAGE16P,13,59102749,59105160
DNAJA1P1,13,59325181,59326367
HMGN2P39,13,59584466,59584738
FAM227B,15,49619159,49913128
POLR3KP1,13,59645596,59645937
LINC00189,21,30565801,30660526
RPP40P2,13,59836814,59837525
RNU7-88P,13,60054204,60054266
DIAPH3-AS1,13,60586885,60618491
RN7SL375P,13,60608601,60608896
DIAPH3-AS2,13,60718832,60727639
MC5R,18,13824154,13826861
RNY4P28,13,60761872,60761964
LINC00434,13,60788486,60789080
MIR4758,20,60907543,60907613
TARDBPP2,13,60848910,60850140
RNA5SP31,13,61187742,61187868
EIF4A1P6,13,61211022,61212231
SERPINH1P1,9,34318405,34319653
LINC00378,13,61259333,61268662
MC2R,18,13882043,13915706
RN7SKP24,9,34478620,34478903
RNY3P5,13,61363694,61363795
LACTB,15,63413999,63434260
RNY4P31,13,61390831,61390923
MIR3169,13,61773932,61774014
GAPDHP14,21,30594642,30595578
RAC1P8,13,62379283,62379809
C20orf166-AS1,20,61141550,61148733
CNTFR-AS1,9,34568013,34582827
BACH1-IT1,21,30723955,30734215
LINC00358,13,62578226,62603681
BLM,15,91260558,91358859
MIR1-1,20,61151510,61151586
LINC01075,13,62798230,62824080
MIR133A2,20,61162119,61162220
RPL7P3,20,61169878,61170591
LINC01074,13,62895438,62896531
RNA5SP454,18,39850554,39850680
RNU6-443P,18,41412124,41412230
LINC00459,13,62897790,62902966
MRPL39,21,26957968,26979829
FAM205B,9,34832292,34838583
RPL32P28,13,62902121,62902517
RNA5SP455,18,41651548,41651666
KRT8P5,18,41900765,41902222
SQSTM1P1,13,62980191,62981049
LINC00448,13,63246418,63306492
LINC00376,13,63757234,63801189
FAM205CP,9,34889061,34895775
MIR4319,18,42550047,42550131
ZNF519,18,14057456,14132489
LINC00395,13,64241814,64312151
LINC00686,20,61326376,61331832
OR7E156P,13,64316498,64316945
CTSZ,20,57570240,57582302
LINC00659,20,61405480,61406764
GLULP4,9,34917172,34918293
RNU6-81P,13,64357934,64358037
OGFR-AS1,20,61431979,61436939
RTFDC1,20,55043647,55093943
PPP1R2P10,13,64385147,64385741
YWHAZP6,9,34922181,34922918
DPH3P1,20,61476490,61477543
SYF2P2,9,35010700,35011282
RN7SL338P,9,35049268,35049558
ARF4P2,20,61503602,61504428
BACH1-AS1,21,30742340,30743547
OR7E104P,13,64411166,64411589
BACH1-IT2,21,30742944,30746029
NFYAP1,13,64549584,64550555
BACH1-IT3,21,30868367,30872706
RNU6-667P,15,80109691,80109792
SPINT1,15,41136216,41150405
LINC00355,13,64560504,64650144
LINC00029,20,61665569,61668380
LGMNP1,13,65532229,65533528
RN7SKP26,18,43569619,43569911
GRIK1-AS1,21,31120494,31136321
LINC01056,20,61669363,61685215
STARP1,13,65883987,65885085
RNU6-1278P,18,43701581,43701687
HAR1B,20,61726845,61733671
ATP8B5P,9,35406752,35483026
LINC00307,21,31581469,31584101
HNRNPA3P5,13,66362064,66362896
HAR1A,20,61733483,61735738
RPL8P2,21,31635698,31636199
LINC01052,13,66440306,66452351
MIR548X2,13,66540462,66540561
MIR4704,13,66792382,66792456
MIR124-3,20,61809852,61809938
TRIM60P19,13,66843129,66844590
EBF4,20,2673524,2740753
MIR3196,20,61870131,61870194
LINC00927,15,80555410,80634147
PCDH9-AS1,13,66878003,66897693
MIR4326,20,61918160,61918218
RNU7-87P,13,67204847,67204908
RNU6-994P,20,61968691,61968801
PCDH9-AS2,13,67399301,67489163
ZFAND6P1,9,35449745,35450349
PCDH9-AS3,13,67551564,67559908
RPL36AP33,9,35507561,35507870
PCDH9-AS4,13,67565018,67576139
RPSAP53,13,67840977,67841838
MIR4667,9,35608091,35608156
RNU6-188P,15,42719789,42719895
LINC00364,13,67946519,67954108
TUBB1,20,57594309,57601709
BCRP9,13,68364539,68364926
RMRP,9,35657748,35658015
NPM1P22,13,68406008,68406959
FGF7,15,49715293,49780972
OR7E111P,13,68476487,68477374
RN7SL22P,9,35671773,35672039
OR7E33P,13,68485219,68486080
EIF4EBP2P2,15,42873354,42873686
POTEC,18,14507338,14543584
ELL2P3,13,68863811,68865412
RNU1-134P,20,62540308,62540472
MIR941-2,20,62550834,62550950
HNRNPA1P18,13,68875737,68877434
MIR941-3,20,62551085,62551201
OR13E1P,9,35859059,35859980
DNTTIP1,20,44420576,44440066
MIR941-1,20,62551365,62551481
KRT8P50,15,43093166,43094603
NDUFA5P4,9,35874807,35875191
TCEB3CL2,18,44542731,44544607
RPL37P21,13,68905470,68905745
MIR1914,20,62572818,62572897
FDPSP4,15,43231508,43232556
JAM2,21,27011584,27089874
LINC00961,9,35909480,35911683
MIR647,20,62573984,62574079
RPS3AP52,13,69208322,69208618
RPS3AP47,15,43407897,43408691
SDAD1P2,20,10366427,10368454
RPL12P34,13,69228704,69229182
SPCS2P1,15,43423206,43423884
LINC00176,20,62665697,62671315
PGAM1P2,9,35943207,35943931
ATP5E,20,57600522,57607437
TCEB3CL,18,44548658,44550534
RN7SL761P,13,69267938,69268213
RNU6-1131P,18,44760813,44760919
ZDHHC20P4,13,69559190,69560196
YBX1P10,9,35971341,35972315
SNRPFP3,13,69675964,69676188
ATP5HP1,15,43560102,43560586
RPS27L,15,63418071,63450220
LINC00383,13,69796478,69866286
OR13C6P,9,35991333,35992282
CICP4,20,62921540,62924351
LINC00401,13,69885465,69896233
RN7SL487P,15,43683633,43683925
MIR4527,18,44906867,44906936
TCEB3C,18,44554573,44556449
RNU6-554P,15,43894741,43894846
SRSF1P1,13,69982348,69982867
RNU6-610P,15,43929830,43929936
LINC00266-1,20,62921738,62944485
OR2S1P,9,36013181,36014130
PDIA3P2,15,43941321,43941478
RNY3P10,13,70377072,70377173
TPMTP1,18,45156483,45157219
PSMC1P13,13,70468233,70469217
OR2AM1P,9,36021689,36022110
MIR5572,15,80873444,80873580
RNU6-380P,15,80956113,80956219
RNU4-53P,9,36267780,36267919
ATXN8OS,13,70681345,70713561
FAT1P1,20,10869230,10869736
HMGB3P24,9,36303496,36304921
MIR549,15,81134319,81134414
TCEB3B,18,44558943,44561988
RNU6-708P,18,45696155,45696261
RNU6-54P,13,71033596,71033702
KRTAP13-6P,21,31728833,31729203
MIR4475,9,36823536,36823596
RNU7-191P,18,45918962,45919021
SOGA2P1,13,71497796,71498587
MIR4327,21,31747612,31747696
FOXD4,9,116237,118417
RNA5SP456,18,46001858,46001971
LINC00348,13,71589273,71742549
KRTAP13-5P,21,31808784,31809282
MIR4540,9,36864251,36864305
MIR4743,18,46196971,46197039
MIR4476,9,36893459,36893528
RABEPKP1,13,71870342,71871367
KRTAP19-9P,21,31882625,31882815
MIR4514,15,81289758,81289814
