"symbol","official.symbol"
"ABCA2","ABCA2"
"ABC2","ABCA2"
"ABCA3","ABCA3"
"ABC3","ABCA3"
"ABC-C","ABCA3"
"EST111653","ABCA3"
"LBM180","ABCA3"
"ABCA4","ABCA4"
"STGD1","ABCA4"
"ABCR","ABCA4"
"RP19","ABCA4"
"STGD","ABCA4"
"FFM","ABCA4"
"ARMD2","ABCA4"
"CORD3","ABCA4"
"ABCA5","ABCA5"
"EST90625","ABCA5"
"ABCA6","ABCA6"
"EST155051","ABCA6"
"ABCA7","ABCA7"
"ABCX","ABCA7"
"ABCA8","ABCA8"
"KIAA0822","ABCA8"
"ABCA9","ABCA9"
"EST640918","ABCA9"
"ABCA9-AS1","ABCA9-AS1"
"ABCA10","ABCA10"
"EST698739","ABCA10"
"ABCA11P","ABCA11P"
"ABCA11","ABCA11P"
"EST1133530","ABCA11P"
"FLJ14297","ABCA11P"
"ABCA12","ABCA12"
"ICR2B","ABCA12"
"DKFZP434G232","ABCA12"
"LI2","ABCA12"
"ABCA13","ABCA13"
"FLJ33876","ABCA13"
"FLJ33951","ABCA13"
"ABCA17P","ABCA17P"
"ABCB1","ABCB1"
"PGY1","ABCB1"
"MDR1","ABCB1"
"CLCS","ABCB1"
"P-gp","ABCB1"
"CD243","ABCB1"
"GP170","ABCB1"
"ABC20","ABCB1"
"ABCB2~withdrawn","ABCB2~withdrawn"
"ABCB3~withdrawn","ABCB3~withdrawn"
"ABCB4","ABCB4"
"PGY3","ABCB4"
"MDR3","ABCB4"
"MDR2","ABCB4"
"PFIC-3","ABCB4"
"GBD1","ABCB4"
"ABCB5","ABCB5"
"EST422562","ABCB5"
"ABCB5beta","ABCB5"
"ABCB5alpha","ABCB5"
"ABCB6","ABCB6"
"EST45597","ABCB6"
"umat","ABCB6"
"MTABC3","ABCB6"
"ABCB7","ABCB7"
"ABC7","ABCB7"
"EST140535","ABCB7"
"Atm1p","ABCB7"
"ASAT","ABCB7"
"ABCB8","ABCB8"
"EST328128","ABCB8"
"M-ABC1","ABCB8"
"MABC1","ABCB8"
"ABCB9","ABCB9"
"EST122234","ABCB9"
"ABCB10","ABCB10"
"EST20237","ABCB10"
"M-ABC2","ABCB10"
"MTABC2","ABCB10"
"ABCB10P1","ABCB10P1"
"ABCB10P","ABCB10P1"
"ABCB10P2","ABCB10P1"
"MABC2","ABCB10P1"
"ABCB10P2~withdrawn","ABCB10P2~withdrawn"
"ABCB10P3","ABCB10P3"
"ABCB10P4","ABCB10P4"
"ABCB11","ABCB11"
"BSEP","ABCB11"
"PFIC2","ABCB11"
"ABC16","ABCB11"
"SPGP","ABCB11"
"PFIC-2","ABCB11"
"PGY4","ABCB11"
"ABCC1","ABCC1"
"MRP","ABCC1"
"MRP1","ABCC1"
"GS-X","ABCC1"
"ABCC2","ABCC2"
"CMOAT","ABCC2"
"DJS","ABCC2"
"MRP2","ABCC2"
"cMRP","ABCC2"
"ABCC3","ABCC3"
"MRP3","ABCC3"
"cMOAT2","ABCC3"
"EST90757","ABCC3"
"MLP2","ABCC3"
"MOAT-D","ABCC3"
"ABCC4","ABCC4"
"MRP4","ABCC4"
"EST170205","ABCC4"
"MOAT-B","ABCC4"
"MOATB","ABCC4"
"ABCC5","ABCC5"
"MRP5","ABCC5"
"SMRP","ABCC5"
"EST277145","ABCC5"
"MOAT-C","ABCC5"
"ABCC5-AS1","ABCC5-AS1"
"ABCC6","ABCC6"
"ARA","ABCC6"
"PXE","ABCC6"
"MRP6","ABCC6"
"EST349056","ABCC6"
"MLP1","ABCC6"
"URG7","ABCC6"
"ABCC6P1","ABCC6P1"
"ABCC6P2","ABCC6P2"
"ABCC7~withdrawn","ABCC7~withdrawn"
"ABCC8","ABCC8"
"SUR","ABCC8"
"HRINS","ABCC8"
"HI","ABCC8"
"PHHI","ABCC8"
"SUR1","ABCC8"
"MRP8","ABCC8"
"ABC36","ABCC8"
"HHF1","ABCC8"
"TNDM2","ABCC8"
"ABCC9","ABCC9"
"SUR2","ABCC9"
"CMD1O","ABCC9"
"ABCC10","ABCC10"
"EST182763","ABCC10"
"MRP7","ABCC10"
"SIMRP7","ABCC10"
"ABCC11","ABCC11"
"ABCC12","ABCC12"
"MRP9","ABCC12"
"ABCC13","ABCC13"
"PRED6","ABCC13"
"C21orf73","ABCC13"
"ABCD1","ABCD1"
"ALD","ABCD1"
"AMN","ABCD1"
"ALDP","ABCD1"
"adrenoleukodystrophy","ABCD1"
"ABCD1P1","ABCD1P1"
"ABCD1P2","ABCD1P2"
"bA453N3.6","ABCD1P2"
"ABCD1P3","ABCD1P3"
"ABCD1P4","ABCD1P4"
"ABCD1P5","ABCD1P5"
"ABCD2","ABCD2"
"ALDL1","ABCD2"
"ALDR","ABCD2"
"ALDRP","ABCD2"
"ABCD3","ABCD3"
"PXMP1","ABCD3"
"PMP70","ABCD3"
"ZWS2","ABCD3"
"ABCD4","ABCD4"
"PXMP1L","ABCD4"
"PMP69","ABCD4"
"P70R","ABCD4"
"EST352188","ABCD4"
"ABCE1","ABCE1"
"RNASEL1","ABCE1"
"RNASELI","ABCE1"
"RNS4I","ABCE1"
"RLI","ABCE1"
"OABP","ABCE1"
"ABCF1","ABCF1"
"ABC50","ABCF1"
"EST123147","ABCF1"
"ABCF2","ABCF2"
"EST133090","ABCF2"
"ABC28","ABCF2"
"HUSSY-18","ABCF2"
"ABCF2P1","ABCF2P1"
"ABCF2P2","ABCF2P2"
"ABCF3","ABCF3"
"EST201864","ABCF3"
"ABCG1","ABCG1"
"ABC8","ABCG1"
"ABCG2","ABCG2"
"EST157481","ABCG2"
"MXR","ABCG2"
"BCRP","ABCG2"
"ABCP","ABCG2"
"CD338","ABCG2"
"ABCG4","ABCG4"
"WHITE2","ABCG4"
"ABCG5","ABCG5"
"STSL","ABCG5"
"ABCG8","ABCG8"
"GBD4","ABCG8"
"ABCR~withdrawn","ABCR~withdrawn"
"ABHD1","ABHD1"
"LABH1","ABHD1"
"FLJ36128","ABHD1"
"ABHD2","ABHD2"
"LABH2","ABHD2"
"ABHD3","ABHD3"
"LABH3","ABHD3"
"ABHD4","ABHD4"
"FLJ12816","ABHD4"
"ABHD5","ABHD5"
"CGI-58","ABHD5"
"NCIE2","ABHD5"
"ABHD6","ABHD6"
"ABHD8","ABHD8"
"FLJ11743","ABHD8"
"MGC14280","ABHD8"
"MGC2512","ABHD8"
"ABHD10","ABHD10"
"FLJ11342","ABHD10"
"ABHD11","ABHD11"
"WBSCR21","ABHD11"
"PP1226","ABHD11"
"ABHD11-AS2~withdrawn","ABHD11-AS2~withdrawn"
"ABHD12","ABHD12"
"C20orf22","ABHD12"
"DKFZP434P106","ABHD12"
"dJ965G21.2","ABHD12"
"BEM46L2","ABHD12"
"ABHD12A","ABHD12"
"ABHD12B","ABHD12B"
"C14orf29","ABHD12B"
"BEM46L3","ABHD12B"
"ABHD13","ABHD13"
"C13orf6","ABHD13"
"bA153I24.2","ABHD13"
"FLJ14906","ABHD13"
"BEM46L1","ABHD13"
"ABHD14A","ABHD14A"
"DKFZP564O243","ABHD14A"
"DORZ1","ABHD14A"
"ABHD14A-ACY1","ABHD14A-ACY1"
"ABHD14B","ABHD14B"
"MGC15429","ABHD14B"
"CIB","ABHD14B"
"ABHD15","ABHD15"
"ABHD15-AS1","ABHD15-AS1"
"linc-TP53I13","ABHD15-AS1"
"lnc-TP53I13","ABHD15-AS1"
"ABHD16A","ABHD16A"
"BAT5","ABHD16A"
"NG26","ABHD16A"
"D6S82E","ABHD16A"
"ABHD16B","ABHD16B"
"C20orf135","ABHD16B"
"dJ591C20.1","ABHD16B"
"ABHD17A","ABHD17A"
"C19orf27","ABHD17A"
"FAM108A1","ABHD17A"
"MGC5244","ABHD17A"
"ABHD17AP1","ABHD17AP1"
"FAM108A2","ABHD17AP1"
"C1orf47","ABHD17AP1"
"ABHD17AP2","ABHD17AP2"
"FAM108A3","ABHD17AP2"
"FAM108A11P","ABHD17AP2"
"FAM108A3P","ABHD17AP2"
"ABHD17AP3","ABHD17AP3"
"FAM108A4","ABHD17AP3"
"FAM108A4P","ABHD17AP3"
"ABHD17AP4","ABHD17AP4"
"FAM108A5","ABHD17AP4"
"FAM108A5P","ABHD17AP4"
"ABHD17AP5","ABHD17AP5"
"FAM108A6","ABHD17AP5"
"FAM108A6P","ABHD17AP5"
"ABHD17AP6","ABHD17AP6"
"FAM108A7P","ABHD17AP6"
"ABHD17AP7","ABHD17AP7"
"FAM108A8P","ABHD17AP7"
"ABHD17AP8","ABHD17AP8"
"FAM108A9P","ABHD17AP8"
"ABHD17AP9","ABHD17AP9"
"FAM108A10P","ABHD17AP9"
"ABHD17B","ABHD17B"
"C9orf77","ABHD17B"
"FAM108B1","ABHD17B"
"CGI-67","ABHD17B"
"ABHD17C","ABHD17C"
"FAM108C1","ABHD17C"
"ABI1","ABI1"
"SSH3BP1","ABI1"
"E3B1","ABI1"
"ABI-1","ABI1"
"ABI1P1","ABI1P1"
"SSH3BP1P","ABI1P1"
"ABI1P","ABI1P1"
"ABI2","ABI2"
"ABI-2","ABI2"
"AIP-1","ABI2"
"ABI2B","ABI2"
"AblBP3","ABI2"
"argBPIA","ABI2"
"SSH3BP2","ABI2"
"ABI3","ABI3"
"NESH","ABI3"
"SSH3BP3","ABI3"
"ABI3BP","ABI3BP"
"NESHBP","ABI3BP"
"DKFZP586L2024","ABI3BP"
"TARSH","ABI3BP"
"ABL1","ABL1"
"ABL","ABL1"
"JTK7","ABL1"
"c-ABL","ABL1"
"p150","ABL1"
"ABL2","ABL2"
"ABLL","ABL2"
"ARG","ABL2"
"ABLIM1","ABLIM1"
"LIMAB1","ABLIM1"
"ABLIM","ABLIM1"
"abLIM","ABLIM1"
"limatin","ABLIM1"
"ABLIM2","ABLIM2"
"KIAA1808","ABLIM2"
"ABLIM3","ABLIM3"
"KIAA0843","ABLIM3"
"ABO","ABO"
"A3GALNT","ABO"
"A3GALT1","ABO"
"ABR","ABR"
"MDB","ABR"
"ABRA","ABRA"
"STARS","ABRA"
"ABRACL","ABRACL"
"C6orf115","ABRACL"
"PRO2013","ABRACL"
"HSPC280","ABRACL"
"Costars","ABRACL"
"ABT1","ABT1"
"ABT1P1","ABT1P1"
"ABTB1","ABTB1"
"BPOZ","ABTB1"
"EF1ABP","ABTB1"
"Btb3","ABTB1"
"BTBD21","ABTB1"
"ABTB2","ABTB2"
"DKFZP586C1619","ABTB2"
"BTBD22","ABTB2"
"ABTB2A","ABTB2"
"ACAA1","ACAA1"
"ACAA2","ACAA2"
"DSAEC","ACAA2"
"ACACA","ACACA"
"ACAC","ACACA"
"ACC","ACACA"
"ACC1","ACACA"
"ACACB","ACACB"
"HACC275","ACACB"
"ACC2","ACACB"
"ACCB","ACACB"
"ACAD8","ACAD8"
"ACAD9","ACAD9"
"NPD002","ACAD9"
"MGC14452","ACAD9"
"ACAD10","ACAD10"
"MGC5601","ACAD10"
"ACAD11","ACAD11"
"FLJ12592","ACAD11"
"ACADL","ACADL"
"LCAD","ACADL"
"ACAD4","ACADL"
"ACADM","ACADM"
"MCAD","ACADM"
"MCADH","ACADM"
"ACAD1","ACADM"
"ACADS","ACADS"
"SCAD","ACADS"
"ACAD3","ACADS"
"ACADSB","ACADSB"
"SBCAD","ACADSB"
"ACAD7","ACADSB"
"ACADVL","ACADVL"
"VLCAD","ACADVL"
"LCACD","ACADVL"
"ACAD6","ACADVL"
"ACAD~withdrawn","ACAD~withdrawn"
"ACAN","ACAN"
"MSK16","ACAN"
"CSPG1","ACAN"
"AGC1","ACAN"
"CSPGCP","ACAN"
"ACAP1","ACAP1"
"CENTB1","ACAP1"
"KIAA0050","ACAP1"
"ACAP2","ACAP2"
"CENTB2","ACAP2"
"KIAA0041","ACAP2"
"CNT-B2","ACAP2"
"ACAP2-IT1","ACAP2-IT1"
"ACAP3","ACAP3"
"CENTB5","ACAP3"
"KIAA1716","ACAP3"
"ACAT1","ACAT1"
"ACAT","ACAT1"
"THIL","ACAT1"
"ACAT2","ACAT2"
"ACBD3","ACBD3"
"GOLPH1","ACBD3"
"GOCAP1","ACBD3"
"GCP60","ACBD3"
"PAP7","ACBD3"
"ACBD4","ACBD4"
"FLJ13322","ACBD4"
"ACBD5","ACBD5"
"DKFZp434A2417","ACBD5"
"KIAA1996","ACBD5"
"ACBD6","ACBD6"
"MGC2404","ACBD6"
"ACBD7","ACBD7"
"FLJ38219","ACBD7"
"bA455B2.2","ACBD7"
"ACBP~withdrawn","ACBP~withdrawn"
"ACCN~withdrawn","ACCN~withdrawn"
"ACCPN~withdrawn","ACCPN~withdrawn"
"ACCS","ACCS"
"PHACS","ACCS"
"ACS","ACCS"
"ACCSL","ACCSL"
"ACC~withdrawn","ACC~withdrawn"
"ACD","ACD"
"Ptop","ACD"
"Pip1","ACD"
"Tpp1","ACD"
"Tint1","ACD"
"ACE","ACE"
"DCP1","ACE"
"ACE1","ACE"
"CD143","ACE"
"ACE2","ACE2"
"ACE3P","ACE3P"
"ACER1","ACER1"
"ASAH3","ACER1"
"ACER2","ACER2"
"ASAH3L","ACER2"
"FLJ41587","ACER2"
"ACER3","ACER3"
"PHCA","ACER3"
"FLJ11238","ACER3"
"APHC","ACER3"
"ACHAP~withdrawn","ACHAP~withdrawn"
"ACHE","ACHE"
"YT","ACHE"
"ACHM1~withdrawn","ACHM1~withdrawn"
"ACHM2~withdrawn","ACHM2~withdrawn"
"ACHM3~withdrawn","ACHM3~withdrawn"
"ACHRD~withdrawn","ACHRD~withdrawn"
"ACHRG~withdrawn","ACHRG~withdrawn"
"ACH~withdrawn","ACH~withdrawn"
"ACIN1","ACIN1"
"ACINUS","ACIN1"
"KIAA0670","ACIN1"
"fSAP152","ACIN1"
"ACKR2","ACKR2"
"CMKBR9","ACKR2"
"CCBP2","ACKR2"
"CCR10","ACKR2"
"D6","ACKR2"
"CCR9","ACKR2"
"ACKR3","ACKR3"
"CMKOR1","ACKR3"
"CXCR7","ACKR3"
"RDC1","ACKR3"
"GPR159","ACKR3"
"ACKR4","ACKR4"
"CCRL1","ACKR4"
"CCR11","ACKR4"
"VSHK1","ACKR4"
"CCX-CKR","ACKR4"
"PPR1","ACKR4"
"ACLS","ACLS"
"ACLY","ACLY"
"ATPCL","ACLY"
"CLATP","ACLY"
"ACL","ACLY"
"ACMG~withdrawn","ACMG~withdrawn"
"ACMSD","ACMSD"
"ACN9","ACN9"
"DC11","ACN9"
"ACO1","ACO1"
"IREB1","ACO1"
"IRP1","ACO1"
"IREBP","ACO1"
"ACO2","ACO2"
"ACONM","ACO2"
"ACOT1","ACOT1"
"ACH2","ACOT1"
"CTE-1","ACOT1"
"LACH2","ACOT1"
"ACOT2","ACOT2"
"Mte1","ACOT2"
"ZAP128","ACOT2"
"ACOT4","ACOT4"
"FLJ31235","ACOT4"
"PTE-Ib","ACOT4"
"PTE2B","ACOT4"
"ACOT6","ACOT6"
"C14orf42","ACOT6"
"ACOT7","ACOT7"
"BACH","ACOT7"
"ACH1","ACOT7"
"ACT","ACOT7"
"CTE-II","ACOT7"
"LACH1","ACOT7"
"MGC1126","ACOT7"
"hBACH","ACOT7"
"ACOT8","ACOT8"
"PTE1","ACOT8"
"hACTE-III","ACOT8"
"hTE","ACOT8"
"PTE-2","ACOT8"
"ACOT9","ACOT9"
"CGI-16","ACOT9"
"MT-ACT48","ACOT9"
"ACATE2","ACOT9"
"ACOT11","ACOT11"
"THEA","ACOT11"
"STARD14","ACOT11"
"BFIT","ACOT11"
"KIAA0707","ACOT11"
"BFIT1","ACOT11"
"THEM1","ACOT11"
"ACOT12","ACOT12"
"Cach","ACOT12"
"THEAL","ACOT12"
"STARD15","ACOT12"
"ACOT13","ACOT13"
"THEM2","ACOT13"
"HT012","ACOT13"
"ACOX1","ACOX1"
"PALMCOX","ACOX1"
"ACOX2","ACOX2"
"BRCACOX","ACOX2"
"BRCOX","ACOX2"
"THCCox","ACOX2"
"ACOX3","ACOX3"
"ACOXL","ACOXL"
"FLJ11042","ACOXL"
"ACP1","ACP1"
"ACP2","ACP2"
"ACP5","ACP5"
"TRAP","ACP5"
"ACP6","ACP6"
"LPAP","ACP6"
"ACPL1","ACP6"
"ACPP","ACPP"
"ACP3","ACPP"
"ACP-3","ACPP"
"ACPT","ACPT"
"ACR","ACR"
"ACRBP","ACRBP"
"SP32","ACRBP"
"OY-TES-1","ACRBP"
"CT23","ACRBP"
"ACRC","ACRC"
"ACRV1","ACRV1"
"SPACA2","ACRV1"
"SP-10","ACRV1"
"D11S4365","ACRV1"
"ACS3~withdrawn","ACS3~withdrawn"
"ACSBG1","ACSBG1"
"BGM","ACSBG1"
"FLJ30320","ACSBG1"
"MGC14352","ACSBG1"
"BG1","ACSBG1"
"KIAA0631","ACSBG1"
"hBG1","ACSBG1"
"hsBG","ACSBG1"
"ACSBG2","ACSBG2"
"BGR","ACSBG2"
"PRTD-NY3","ACSBG2"
"DKFZp434K1635","ACSBG2"
"ACSF2","ACSF2"
"FLJ20920","ACSF2"
"ACSMW","ACSF2"
"ACSF3","ACSF3"
"ACSL1","ACSL1"
"FACL2","ACSL1"
"LACS2","ACSL1"
"LACS","ACSL1"
"ACS1","ACSL1"
"LACS1","ACSL1"
"FACL1","ACSL1"
"ACSL3","ACSL3"
"FACL3","ACSL3"
"ACS3","ACSL3"
"PRO2194","ACSL3"
"ACSL4","ACSL4"
"FACL4","ACSL4"
"MRX63","ACSL4"
"MRX68","ACSL4"
"ACS4","ACSL4"
"LACS4","ACSL4"
"ACSL5","ACSL5"
"FACL5","ACSL5"
"ACS5","ACSL5"
"ACS2","ACSL5"
"ACSL6","ACSL6"
"FACL6","ACSL6"
"KIAA0837","ACSL6"
"LACS5","ACSL6"
"ACSM1","ACSM1"
"BUCS1","ACSM1"
"MACS1","ACSM1"
"ACSM2A","ACSM2A"
"ACSM2","ACSM2A"
"A-923A4.1","ACSM2A"
"MGC150530","ACSM2A"
"ACSM2B","ACSM2B"
"HXMA","ACSM2B"
"HYST1046","ACSM2B"
"ACSM3","ACSM3"
"SAH","ACSM3"
"SA","ACSM3"
"ACSM4","ACSM4"
"ACSM5","ACSM5"
"FLJ20581","ACSM5"
"ACSS1","ACSS1"
"ACAS2L","ACSS1"
"dJ568C11.3","ACSS1"
"AceCS2L","ACSS1"
"MGC33843","ACSS1"
"ACSS2","ACSS2"
"ACAS2","ACSS2"
"ACSA","ACSS2"
"AceCS","ACSS2"
"dJ1161H23.1","ACSS2"
"ACSS3","ACSS3"
"FLJ21963","ACSS3"
"ACTA1","ACTA1"
"ACTA","ACTA1"
"NEM3","ACTA1"
"ACTA2","ACTA2"
"ACTSA","ACTA2"
"ACTA2-AS1","ACTA2-AS1"
"ACTA3~withdrawn","ACTA3~withdrawn"
"ACTB","ACTB"
"ACTBL2","ACTBL2"
"DKFZp686D0972","ACTBL2"
"ACTBP1","ACTBP1"
"ACTBP2","ACTBP2"
"ACTBP3","ACTBP3"
"ACTBP4","ACTBP4"
"ACTBP5~withdrawn","ACTBP5~withdrawn"
"ACTBP6","ACTBP6"
"ACTBP7","ACTBP7"
"ACTBP8","ACTBP8"
"ACTBP9","ACTBP9"
"ACTBP10","ACTBP10"
"ACTBP11","ACTBP11"
"ACTBP12","ACTBP12"
"ACTGP5","ACTBP12"
"ACTBP13","ACTBP13"
"ACTBP14","ACTBP14"
"ACTC1","ACTC1"
"ACTC","ACTC1"
"CMD1R","ACTC1"
"ACTG1","ACTG1"
"ACTG","ACTG1"
"DFNA20","ACTG1"
"DFNA26","ACTG1"
"ACTG1P1","ACTG1P1"
"ACTGP1","ACTG1P1"
"ACT1GP1","ACTG1P1"
"ACTG1P2","ACTG1P2"
"ACTL2","ACTG1P2"
"ACTGP2","ACTG1P2"
"ACTG1P3","ACTG1P3"
"ACTGP3","ACTG1P3"
"ACTG1P4","ACTG1P4"
"ACTGP4","ACTG1P4"
"ACTG1P6","ACTG1P6"
"ACTGP6","ACTG1P6"
"ACTG1P7","ACTG1P7"
"ACTGP7","ACTG1P7"
"ACTG1P8","ACTG1P8"
"ACTGP8","ACTG1P8"
"ACTG1P9","ACTG1P9"
"ACTGP9","ACTG1P9"
"ACTG1P10","ACTG1P10"
"ACTL1","ACTG1P10"
"ACTGP10","ACTG1P10"
"ACTG1P11","ACTG1P11"
"ACTG1P12","ACTG1P12"
"ACTG1P13","ACTG1P13"
"ACTG1P14","ACTG1P14"
"ACTG2","ACTG2"
"ACTL3","ACTG2"
"ACTA3","ACTG2"
"ACTSG","ACTG2"
"ACTL2~withdrawn","ACTL2~withdrawn"
"ACTL3~withdrawn","ACTL3~withdrawn"
"ACTL4~withdrawn","ACTL4~withdrawn"
"ACTL5~withdrawn","ACTL5~withdrawn"
"ACTL6A","ACTL6A"
"Actl6","ACTL6A"
"BAF53A","ACTL6A"
"Arp4","ACTL6A"
"Baf53a","ACTL6A"
"INO80K","ACTL6A"
"ACTL6B","ACTL6B"
"ACTL6","ACTL6B"
"BAF53B","ACTL6B"
"ACTL7A","ACTL7A"
"ACTL7B","ACTL7B"
"Tact1","ACTL7B"
"ACTL8","ACTL8"
"CT57","ACTL8"
"ACTL9","ACTL9"
"MGC33407","ACTL9"
"ACTL10","ACTL10"
"C20orf134","ACTL10"
"ACTN1","ACTN1"
"ACTN1-AS1","ACTN1-AS1"
"C14orf84","ACTN1-AS1"
"ACTN2","ACTN2"
"ACTN3","ACTN3"
"ACTN4","ACTN4"
"FSGS1","ACTN4"
"ACTN4P1","ACTN4P1"
"ACTN4P2","ACTN4P2"
"ACTR1A","ACTR1A"
"ARP1","ACTR1A"
"ACTR1B","ACTR1B"
"CTRN2","ACTR1B"
"ACTR2","ACTR2"
"ARP2","ACTR2"
"ACTR3","ACTR3"
"ARP3","ACTR3"
"ACTR3B","ACTR3B"
"ARP11","ACTR3B"
"ARP3beta","ACTR3B"
"ACTR3BP1","ACTR3BP1"
"ACTR3BP2","ACTR3BP2"
"FKSG73","ACTR3BP2"
"ACTR3BP3","ACTR3BP3"
"ACTR3BP4","ACTR3BP4"
"ACTR3BP5","ACTR3BP5"
"ACTR3BP6","ACTR3BP6"
"ACTR3C","ACTR3C"
"ACTR3P1","ACTR3P1"
"ACTR3P2","ACTR3P2"
"ACTR3P3","ACTR3P3"
"ACTR5","ACTR5"
"FLJ12785","ACTR5"
"Arp5","ACTR5"
"INO80M","ACTR5"
"ACTR6","ACTR6"
"ARP6","ACTR6"
"FLJ13433","ACTR6"
"ACTR6P1","ACTR6P1"
"ACTR8","ACTR8"
"INO80N","ACTR8"
"ACTR10","ACTR10"
"HARP11","ACTR10"
"ACTR11","ACTR10"
"Arp11","ACTR10"
"ACTRT1","ACTRT1"
"AIP1","ACTRT1"
"KIAA0705","ACTRT1"
"ARIP1","ACTRT1"
"Arp-T1","ACTRT1"
"ACTRT2","ACTRT2"
"Arp-T2","ACTRT2"
"ARPM2","ACTRT2"
"FLJ25424","ACTRT2"
"ACTRT3","ACTRT3"
"ARPM1","ACTRT3"
"ACVR1","ACVR1"
"ACVRLK2","ACVR1"
"SKR1","ACVR1"
"ALK2","ACVR1"
"ACVR1A","ACVR1"
"ACVR1B","ACVR1B"
"ACVRLK4","ACVR1B"
"ALK4","ACVR1B"
"SKR2","ACVR1B"
"ActRIB","ACVR1B"
"ACVR1C","ACVR1C"
"ALK7","ACVR1C"
"ACVRLK7","ACVR1C"
"ACVR2A","ACVR2A"
"ACVR2","ACVR2A"
"ACTRII","ACVR2A"
"ACVR2B","ACVR2B"
"ActR-IIB","ACVR2B"
"ACVR2B-AS1","ACVR2B-AS1"
"ACVRL1","ACVRL1"
"ACVRLK1","ACVRL1"
"ORW2","ACVRL1"
"HHT2","ACVRL1"
"ALK1","ACVRL1"
"HHT","ACVRL1"
"ACVRLK2~withdrawn","ACVRLK2~withdrawn"
"ACY1","ACY1"
