ensg	chromosome_name	hgnc_symbol
ENSG00000212368	4	RNU6-1000P
ENSG00000277628	2	AC133109.1
ENSG00000274230	12	AC007351.3
ENSG00000238880	11	RNU7-59P
ENSG00000206799	11	SNORA32
ENSG00000206807	3	RNU6-815P
ENSG00000251804	3	RNU6-1294P
ENSG00000276594	CHR_HSCHR6_MHC_MCF_CTG1	CR759763.2
ENSG00000202434	2	AC010746.1
ENSG00000212289	11	RNA5SP339
ENSG00000222357	3	RNU2-20P
ENSG00000222399	1	RNU6-791P
ENSG00000206605	10	RNU6-946P
ENSG00000265707	CHR_HSCHR6_MHC_DBB_CTG1	SNORD52
ENSG00000207045	7	RNU6-532P
ENSG00000206688	15	SNORD116-18
ENSG00000242855	7	RN7SL496P
ENSG00000253081	3	RNU4ATAC17P
ENSG00000264352	2	RN7SL602P
ENSG00000276031	20	RN7SL197P
ENSG00000222529	11	AP004609.2
ENSG00000252461	16	AC133550.1
ENSG00000222146	8	RNU4-37P
ENSG00000200291	X	AC006963.1
ENSG00000275900	18	AC012588.2
ENSG00000252872	7	RNU7-188P
ENSG00000222854	1	RNA5SP59
ENSG00000199426	17	RNU1-108P
ENSG00000207385	4	RNU6-310P
ENSG00000277563	10	AC063961.1
ENSG00000253089	12	RNU1-104P
ENSG00000276568	19	AC025278.3
ENSG00000240823	11	RN7SL23P
ENSG00000212195	17	AC011195.1
ENSG00000207067	8	SNORA72
ENSG00000206880	1	RNU6-1310P
ENSG00000276183	13	FO681491.2
ENSG00000207274	2	SNORA70I
ENSG00000266523	CHR_HSCHR6_MHC_MCF_CTG1	CR788240.1
ENSG00000276696	15	AC090518.2
ENSG00000201302	9	SNORA65
ENSG00000221500	6	SNORD100
ENSG00000223174	14	RN7SKP17
ENSG00000251852	7	AC005064.2
ENSG00000206805	17	AC036222.2
ENSG00000271923	9	RNU6-86P
ENSG00000206854	13	RNY3P5
ENSG00000274059	1	RNA5SP534
ENSG00000201707	4	RNU6-818P
ENSG00000238966	8	AC090571.1
ENSG00000264767	20	RN7SL237P
ENSG00000277667	CHR_HSCHR19LRC_LRC_T_CTG3_1	AC012314.14
ENSG00000212365	11	RNA5SP332
ENSG00000238427	3	RNU7-136P
ENSG00000275090	3	RN7SL296P
ENSG00000200049	4	AC097658.1
ENSG00000212293	13	AL137247.1
ENSG00000200262	1	AL162430.1
ENSG00000207237	1	RNU6-110P
ENSG00000206914	12	AC027290.1
ENSG00000273725	11	AC055845.1
ENSG00000252780	19	RNA5SP471
ENSG00000222649	6	AL137009.1
ENSG00000212604	15	AC044913.1
ENSG00000264415	CHR_HSCHR6_MHC_QBL_CTG1	AL805917.1
ENSG00000251967	3	AC104304.1
ENSG00000206796	10	RNU6-811P
ENSG00000280864	CHR_HG126_PATCH	AC255560.1
ENSG00000207332	X	RNU6-146P
ENSG00000238658	17	RNU6-625P
ENSG00000201566	7	AC078843.2
ENSG00000199322	5	RNA5SP183
ENSG00000206951	2	AL133244.1
ENSG00000199349	1	AL591846.1
ENSG00000212385	1	RNU6-817P
ENSG00000206685	X	RNU6-1189P
ENSG00000253055	16	RNA5SP415
ENSG00000242699	2	RN7SL516P
ENSG00000200807	2	RNU1-32P
ENSG00000240481	12	RN7SL38P
ENSG00000201432	7	AC006960.1
ENSG00000273636	CHR_HSCHR15_3_CTG8	AC120778.1
ENSG00000231587	9	SNORD62B
ENSG00000263669	2	RN7SL470P
ENSG00000263793	1	MIR3115
ENSG00000223203	6	RNA5SP221
ENSG00000276596	17	AC024051.8
ENSG00000242170	8	RN7SL329P
ENSG00000276653	2	RN7SL856P
ENSG00000274975	1	MIR6735
ENSG00000201885	7	AC114737.1
ENSG00000263381	1	MIR5584
ENSG00000201826	X	RNU6-867P
ENSG00000202336	16	RNU6-359P
ENSG00000212402	5	SNORA74B
ENSG00000207729	1	MIR556
ENSG00000200839	1	RNA5SP48
ENSG00000276891	15	RN7SL238P
ENSG00000212158	3	SNORD66
ENSG00000273730	GL000220.1	AL592188.1
ENSG00000283598	1	MIR1295B
ENSG00000238500	13	RNU7-87P
ENSG00000276522	9	RN7SL462P
ENSG00000265201	1	MIR4677
ENSG00000199977	18	AC103987.1
ENSG00000252462	21	RNU6-113P
ENSG00000221273	11	MIR1237
ENSG00000199474	16	AC092324.1
ENSG00000252692	1	AC244035.3
ENSG00000284435	11	MIR4691
ENSG00000201959	7	AC007000.1
ENSG00000274199	1	AL109925.1
ENSG00000222207	16	RNA5SP407
ENSG00000242707	18	RN7SL362P
ENSG00000284020	11	MIR4697
ENSG00000222455	9	RNA5SP296
ENSG00000283803	12	MIR3198-2
ENSG00000275745	16	AC010542.5
ENSG00000252512	6	RNA5SP206
ENSG00000272197	5	RN7SL803P
ENSG00000284388	12	MIR4496
ENSG00000207276	9	RNU6-1160P
ENSG00000207150	15	RNU6-185P
ENSG00000287648	CHR_HG1832_PATCH	AL034351.6
ENSG00000283815	13	MIR18A
ENSG00000275631	21	AC124864.1
ENSG00000222852	5	AC022413.1
ENSG00000252326	15	SNORD116-25
ENSG00000238804	17	AC091133.2
ENSG00000283888	15	MIR1469
ENSG00000252481	14	SCARNA13
ENSG00000201596	1	AL133383.1
ENSG00000207449	15	RNU6-19P
ENSG00000266124	16	MIR5587
ENSG00000207142	12	AC079601.1
ENSG00000223280	13	RNU6-57P
ENSG00000200620	X	AC112497.1
ENSG00000251877	6	RNU2-45P
ENSG00000272380	18	MIR3976
ENSG00000274915	20	AL096828.4
ENSG00000240183	2	RN7SL297P
ENSG00000206824	17	AC004707.1
ENSG00000207580	19	MIR526B
ENSG00000263971	CHR_HSCHR6_MHC_MCF_CTG1	CR788250.4
ENSG00000275266	11	AC051649.3
ENSG00000200822	2	AC010980.1
ENSG00000265420	2	MIR4779
ENSG00000212171	2	RNA5SP86
ENSG00000277968	5	AC091825.2
ENSG00000277842	2	MIR6811
ENSG00000275043	11	SNORD25
ENSG00000200983	11	SNORA3A
ENSG00000266071	20	MIR3617
ENSG00000207033	X	RNU6-154P
ENSG00000284193	20	MIR1257
ENSG00000200469	4	RNU6-112P
ENSG00000207932	22	MIR33A
ENSG00000278704	GL000009.2	BX004987.1
ENSG00000273525	CHR_HSCHR11_1_CTG7	SNORA54
ENSG00000264160	22	MIR4762
ENSG00000252398	3	AC094019.3
ENSG00000251856	5	MIR449C
ENSG00000283717	5	MIR6831
ENSG00000274994	5	MIR8056
ENSG00000283237	7	MIR550B1
ENSG00000275746	CHR_HSCHR15_4_CTG8	KLF13
ENSG00000266525	7	MIR4650-1
ENSG00000207826	8	MIR596
ENSG00000207595	9	MIR181A2
ENSG00000266827	9	MIR3689E
ENSG00000223064	10	RNU6-325P
ENSG00000201524	17	RNU6-450P
ENSG00000221348	X	MIR548F5
ENSG00000278782	KI270728.1	AC136616.3
ENSG00000221527	8	RNU6ATAC41P
ENSG00000207957	X	MIR105-1
ENSG00000199638	10	RNA5SP319
ENSG00000200106	9	RNU6-984P
ENSG00000239942	10	RN7SL394P
ENSG00000278708	7	AC004080.16
ENSG00000272020	3	RNU1-30P
ENSG00000240723	4	RN7SL382P
ENSG00000273979	22	AL035450.1
ENSG00000241939	3	RN7SL517P
ENSG00000202329	1	RNU6-609P
ENSG00000202251	17	AC003688.1
ENSG00000251813	1	RNU6-983P
ENSG00000201010	2	RN7SKP224
ENSG00000213167	7	AC074021.1
ENSG00000276932	GL000205.2	AC011841.2
ENSG00000199424	X	Z97632.1
ENSG00000199266	20	SNORA60
ENSG00000240205	12	RN7SL865P
ENSG00000207144	1	RNU6-1297P
ENSG00000251960	9	RNU6-559P
ENSG00000277733	CHR_HSCHR19LRC_LRC_S_CTG3_1	MBOAT7
ENSG00000273974	X	AC004386.3
ENSG00000199867	18	AC100843.1
ENSG00000278363	CHR_HSCHR19LRC_PGF2_CTG3_1	AC012314.18
ENSG00000238987	6	RNU7-133P
ENSG00000212532	6	AL365219.1
ENSG00000202016	2	RNU6-619P
ENSG00000201297	4	AC079835.1
ENSG00000252505	8	AC013603.1
ENSG00000199313	9	RNU4-82P
ENSG00000274980	CHR_HSCHR11_2_CTG1	RNU6-1025P
ENSG00000273624	CHR_HSCHR15_1_CTG1	AC136352.1
ENSG00000265033	X	RN7SL262P
ENSG00000222440	X	RNU2-26P
ENSG00000251869	X	SCARNA23
ENSG00000199529	4	RNU6-462P
ENSG00000277205	CHR_HSCHR7_3_CTG6	AC237044.1
ENSG00000276871	22	AC137488.1
ENSG00000277001	5	AC123595.2
ENSG00000221375	X	RNU6ATAC23P
ENSG00000201210	3	RNA5SP139
ENSG00000201318	14	SNORD114-30
ENSG00000200553	4	AC097173.1
ENSG00000253064	17	RNU6-711P
ENSG00000200406	14	SNORD114-23
ENSG00000252347	14	RNU6-1046P
ENSG00000286094	5	AC026740.3
ENSG00000202471	12	RNU4-20P
ENSG00000263616	8	RN7SL178P
ENSG00000274742	10	AL391827.2
ENSG00000252860	1	RNU6-570P
ENSG00000263969	21	RN7SL678P
ENSG00000206889	3	RNU6-1200P
ENSG00000200834	9	AL139113.1
ENSG00000264346	22	SNORA77B
ENSG00000200685	11	AC013828.1
ENSG00000277483	3	RN7SL321P
ENSG00000207612	10	MIR604
ENSG00000200488	2	RN7SKP203
ENSG00000278281	1	MIR7856
ENSG00000274056	10	MIR6507
ENSG00000278529	11	MIR8070
ENSG00000201097	14	RNU6-366P
ENSG00000200882	3	RNU6-681P
ENSG00000265719	10	MIR4681
ENSG00000207562	11	MIR34C
ENSG00000252302	3	RNA5SP147
ENSG00000276102	11	MIR6747
ENSG00000202254	1	AL451051.1
ENSG00000284536	13	MIR17
ENSG00000266570	11	MIR5579
ENSG00000201242	13	RNY1P1
ENSG00000222761	14	RNU6-684P
ENSG00000264906	12	MIR4494
ENSG00000264712	14	MIR4504
ENSG00000266655	12	MIR3908
ENSG00000252835	17	SCARNA21
ENSG00000266545	15	MIR5701-1
ENSG00000283785	13	MIR15A
ENSG00000283636	2	AC074367.2
ENSG00000263964	15	MIR4509-3
ENSG00000284269	14	MIR7855
ENSG00000207703	15	MIR7-2
ENSG00000276017	KI270734.1	AC007325.1
ENSG00000242398	17	RN7SL800P
ENSG00000207761	14	MIR329-1
ENSG00000207561	17	MIR635
ENSG00000207959	14	MIR656
ENSG00000212533	12	AC008013.1
ENSG00000265561	17	MIR1268B
ENSG00000265957	18	MIR4319
ENSG00000199143	19	MIR373
ENSG00000239075	7	RNU6-274P
ENSG00000266721	19	MIR5695
ENSG00000275519	19	MIR6804
ENSG00000207616	19	MIR515-1
ENSG00000221574	11	RNU6ATAC33P
ENSG00000265321	2	MIR4263
ENSG00000207594	19	MIR520A
ENSG00000275523	21	MIR6508
ENSG00000200742	14	AL138499.1
ENSG00000265429	2	MIR4782
ENSG00000283958	3	MIR1248
ENSG00000207225	2	RNU6-692P
ENSG00000207716	4	MIR572
ENSG00000275141	2	MIR6888
ENSG00000283275	4	MIR4275
ENSG00000252624	16	RNA5SP409
ENSG00000207863	21	MIR125B2
ENSG00000266698	4	MIR3945
ENSG00000212345	12	RNU6-700P
ENSG00000264732	5	MIR4638
ENSG00000263967	9	MIR4290
ENSG00000284135	7	MIR3654
ENSG00000274115	9	MIR6081
ENSG00000201296	12	RNU4-41P
ENSG00000265520	8	MIR548V
ENSG00000207867	X	MIR514A3
ENSG00000283522	8	MIR3150A
ENSG00000264640	CHR_HSCHR6_MHC_MANN_CTG1	BX927235.3
ENSG00000276575	X	MIR6895
ENSG00000202485	4	RNU6-499P
ENSG00000208012	X	MIRLET7F2
ENSG00000252408	19	AC005787.1
ENSG00000222705	10	RN7SKP39
ENSG00000284538	X	MIR92A2
ENSG00000223168	16	RN7SKP142
ENSG00000212443	12	SNORA53
ENSG00000207501	1	RNVU1-14
ENSG00000238813	2	AC010127.1
ENSG00000269103	20	AL031685.2
ENSG00000201317	1	RNU4-59P
ENSG00000251913	22	RNU6-513P
ENSG00000252072	10	RNA5SP320
ENSG00000252287	13	RNA5SP24
ENSG00000212304	20	SNORD12
ENSG00000275917	CHR_HSCHR15_4_CTG8	CHRFAM7A
ENSG00000201640	4	RN7SKP28
ENSG00000253077	4	RNA5SP169
ENSG00000274097	11	RNA5SP535
ENSG00000200184	3	RNU1-20P
ENSG00000222488	8	RNU6-285P
ENSG00000238610	6	RNU7-26P
ENSG00000281910	16	SNORA50A
ENSG00000278794	17	AC015884.3
ENSG00000202241	6	RN7SKP186
ENSG00000200448	22	AL049757.1
ENSG00000241461	3	RN7SL182P
ENSG00000206713	17	AC111186.1
ENSG00000206802	21	RNU6-926P
ENSG00000206908	6	RNU1-136P
ENSG00000199217	11	RNU6-1123P
ENSG00000244501	5	RN7SL623P
ENSG00000251712	7	RNU7-20P
ENSG00000206998	20	AL031681.1
ENSG00000249784	4	SCARNA22
ENSG00000207247	6	AL365223.1
ENSG00000238777	20	RNU7-141P
ENSG00000252437	18	RNA5SP459
ENSG00000212211	3	AC096917.1
ENSG00000206815	3	RNU6-483P
ENSG00000277464	15	RN7SL286P
ENSG00000201674	X	AC236668.1
ENSG00000238431	7	RNU7-157P
ENSG00000212342	8	AC103725.1
ENSG00000202314	11	SNORD6
ENSG00000201675	19	SNORD32A
ENSG00000241943	11	RN7SL188P
ENSG00000201071	15	AC100840.1
ENSG00000201812	21	RNA5SP488
ENSG00000201830	9	AL499604.1
ENSG00000206785	7	SNORA15B-2
ENSG00000264071	2	RN7SL531P
ENSG00000252269	12	RNU4ATAC12P
ENSG00000274197	11	AP003041.3
ENSG00000264353	CHR_HSCHR6_MHC_DBB_CTG1	CR753842.2
ENSG00000206888	1	RNU6-48P
ENSG00000222604	14	AC007956.1
ENSG00000265116	CHR_HSCHR6_MHC_MANN_CTG1	SNORD117
ENSG00000239553	11	RN7SL12P
ENSG00000278099	1	RNVU1-2A
ENSG00000212448	12	AC008128.1
ENSG00000252852	8	AP002848.1
ENSG00000252033	11	RNU6-311P
ENSG00000199473	7	AC019117.1
ENSG00000200052	3	AC140119.1
ENSG00000207303	2	AC098820.1
ENSG00000207261	5	RNU6-738P
ENSG00000206745	6	RNU6-643P
ENSG00000252994	10	RNU6-1231P
ENSG00000283249	15	AC084854.1
ENSG00000199878	X	RN7SKP149
ENSG00000201746	1	RNU6-828P
ENSG00000277923	CHR_HSCHR19LRC_LRC_T_CTG3_1	MBOAT7
ENSG00000207052	5	RNU6-378P
ENSG00000278003	CHR_HSCHR15_4_CTG8	AC243913.1
ENSG00000251739	4	RNU6-1053P
ENSG00000241487	14	RN7SL586P
ENSG00000252682	1	AL354980.1
ENSG00000222259	9	RN7SKP114
ENSG00000199633	15	AC090260.1
ENSG00000212340	3	RNU6-739P
ENSG00000222489	14	SNORA79B
ENSG00000199203	2	AC097525.1
ENSG00000200632	14	SNORD113-7
ENSG00000223175	1	RNU4-61P
ENSG00000275930	7	AC211486.8
ENSG00000199551	12	RNU6-545P
ENSG00000207110	8	RNU1-106P
ENSG00000222561	11	RNU6-1025P
ENSG00000253098	5	RNU7-161P
ENSG00000264371	1	MIR4425
ENSG00000277467	15	RN7SL628P
ENSG00000264086	CHR_HSCHR6_MHC_DBB_CTG1	SNORD48
ENSG00000242079	8	RN7SL318P
ENSG00000266676	10	MIR4297
ENSG00000222924	5	RNU6-1148P
ENSG00000212525	6	RNA5SP212
ENSG00000264947	16	MIR3181
ENSG00000243870	17	RN7SL236P
ENSG00000238365	1	RNU7-57P
ENSG00000208017	16	MIR140
ENSG00000266634	1	MIR3972
ENSG00000252135	1	RNU1-155P
ENSG00000207750	1	MIR553
ENSG00000264511	17	MIR3678
ENSG00000243854	12	RN7SL67P
ENSG00000239545	4	RN7SL822P
ENSG00000284485	1	MIR205
ENSG00000284568	19	MIR371B
ENSG00000201431	14	RNU6-1277P
ENSG00000206620	1	SNORD45C
ENSG00000207789	12	MIR26A2
ENSG00000266738	2	MIR4757
ENSG00000251711	10	RNU6-632P
ENSG00000222679	17	RNU6-1267P
ENSG00000283159	14	MIR665
ENSG00000207923	2	MIR559
ENSG00000199012	14	MIR412
ENSG00000199444	19	AC022415.1
ENSG00000207278	18	RNU6-831P
ENSG00000283637	2	MIR4776-2
ENSG00000263413	14	MIR4538
ENSG00000202252	11	SNORD14C
ENSG00000266887	22	MIR4535
ENSG00000199865	22	RNU6-495P
ENSG00000266039	15	MIR4509-2
ENSG00000200792	21	SNORA80A
ENSG00000284059	15	MIR5572
ENSG00000199075	3	MIR26A1
ENSG00000238606	X	RNU7-7P
ENSG00000201987	1	AL390119.1
ENSG00000208003	15	MIR549A
ENSG00000284078	5	SNORD138
ENSG00000207614	17	MIR193A
ENSG00000222598	5	RNU2-49P
ENSG00000200305	15	AC012377.1
ENSG00000221287	5	MIR1289-2
ENSG00000264010	2	MIR4429
ENSG00000274350	15	RN7SL853P
ENSG00000284517	6	MIR6873
ENSG00000201723	18	AC012572.1
ENSG00000265682	2	MIR4267
ENSG00000223188	9	AL392105.1
ENSG00000277138	7	MIR6509
ENSG00000278524	2	MIR6810
ENSG00000222543	10	RN7SKP220
ENSG00000251764	17	RNA5SP446
ENSG00000221442	7	MIR548F4
ENSG00000216141	20	MIR941-2
ENSG00000252552	1	RNU6-307P
ENSG00000283327	8	MIR6841
ENSG00000200174	1	AL162739.1
ENSG00000216135	3	MIR885
ENSG00000207970	X	MIR660
ENSG00000251816	4	RNA5SP157
ENSG00000283745	7	MIR196B
ENSG00000199480	14	RNA5SP389
ENSG00000222934	3	RN7SKP284
ENSG00000283956	8	MIR3610
ENSG00000252191	19	RNU6-751P
ENSG00000252233	4	RN7SKP253
ENSG00000221768	8	MIR1302-7
ENSG00000200536	1	AL137790.1
ENSG00000275904	9	AL627230.2
ENSG00000274864	7	AC004079.2
ENSG00000199072	9	MIRLET7F1
ENSG00000200057	22	RN7SKP63
ENSG00000253053	12	RN7SKP289
ENSG00000199051	X	MIR361
ENSG00000216171	X	MIR513C
ENSG00000251825	1	RN7SKP19
ENSG00000273886	13	AL138690.2
ENSG00000207462	11	RNU6-376P
ENSG00000212571	20	RNA5SP482
ENSG00000199489	15	SNORD115-25
ENSG00000206645	3	AC006583.1
ENSG00000273770	CHR_HSCHR18_ALT21_CTG2_1	AC012572.4
ENSG00000201867	11	AC090469.1
ENSG00000207014	15	SNORD116-3
ENSG00000252448	1	AL929472.5
ENSG00000202417	5	AC010240.1
ENSG00000277918	1	RNVU1-28
ENSG00000200114	3	RNA5SP123
ENSG00000200102	14	RNU6-252P
ENSG00000207158	20	RNU6-929P
ENSG00000207480	4	AC107067.1
ENSG00000275420	CHR_HSCHR5_2_CTG1_1	AC144587.1
ENSG00000272028	12	RNU6-87P
ENSG00000285626	2	AC011994.1
ENSG00000212534	2	SNORD70
ENSG00000244034	4	RN7SL424P
ENSG00000251791	2	SCARNA6
ENSG00000223013	11	RNA5SP344
ENSG00000200525	8	RNU6-1209P
ENSG00000212479	21	AF124730.1
ENSG00000251805	2	AC009228.2
ENSG00000199357	18	AC026634.1
